City1,City2,Weight
Adelanto,Del Rey Oaks,551.497
Adelanto,Delano,256.145
Adelanto,Desert Hot Springs,155.597
Adelanto,Diamond Bar,102.59
Adelanto,Dinuba,347.964
Adelanto,Dixon,682.939
Adelanto,Dorris,1098.888
Adelanto,Dos Palos,462.381
Adelanto,Downey,135.632
Adelanto,Duarte,106.888
Adelanto,Dublin,602.087
Adelanto,Dunsmuir,989.112
Adelanto,East Palo Alto,616.446
Adelanto,Eastvale,86.965
Adelanto,El Cajon,240.993
Adelanto,El Centro,321.017
Adelanto,El Cerrito,654.17
Adelanto,El Monte,116.046
Adelanto,El Segundo,164.612
Adelanto,Elk Grove,626.516
Adelanto,Emeryville,644.336
Adelanto,Encinitas,222.164
Adelanto,Escalon,556.82
Adelanto,Escondido,188.924
Adelanto,Etna,1101.663
Adelanto,Eureka,1079.744
Adelanto,Exeter,313.631
Adelanto,Fairfax,678.617
Adelanto,Fairfield,676.952
Adelanto,Farmersville,325.289
Adelanto,Ferndale,1063.557
Adelanto,Fillmore,171.701
Adelanto,Firebaugh,442.507
Adelanto,Folsom,662.818
Adelanto,Fontana,63.631
Adelanto,Fort Bragg,919.177
Adelanto,Fort Jones,1082.864
Adelanto,Fortuna,1051.961
Adelanto,Foster City,646.893
Adelanto,Fountain Valley,146.615
Adelanto,Fowler,362.9
Adelanto,Fremont,614.873
Adelanto,Fresno,379.156
Adelanto,Fullerton,123.086
Adelanto,Galt,607.526
Adelanto,Garden Grove,135.724
Adelanto,Gardena,156.657
Adelanto,Gilroy,540.246
Adelanto,Glendale,135.124
Adelanto,Glendora,98.078
Adelanto,Goleta,269.405
Adelanto,Gonzales,502.855
Adelanto,Grand Terrace,74.357
Adelanto,Grass Valley,735.653
Adelanto,Greenfield,475.427
Adelanto,Gridley,741.121
Adelanto,Grover Beach,374.726
Adelanto,Guadalupe,369.115
Adelanto,Gustine,497.582
Adelanto,Half Moon Bay,649.212
Adelanto,Hanford,342.093
Adelanto,Hawaiian Gardens,144.435
Adelanto,Hawthorne,159.281
Adelanto,Hayward,618.493
Adelanto,Healdsburg,754.861
Adelanto,Hemet,128.945
Adelanto,Hercules,669.065
Adelanto,Hermosa Beach,168.582
Adelanto,Hesperia,26.592
Adelanto,Hidden Hills,164.415
Adelanto,Highland,72.846
Adelanto,Hillsborough,645.954
Adelanto,Hollister,533.177
Adelanto,Holtville,334.23
Adelanto,Hughson,523.174
Adelanto,Huntington Beach,152.663
Adelanto,Huntington Park,142.832
Adelanto,Huron,352.255
Adelanto,Imperial,314.211
Adelanto,Imperial Beach,252.517
Adelanto,Indian Wells,178.738
Adelanto,Indio,184.681
Adelanto,Industry,117.041
Adelanto,Inglewood,163.344
Adelanto,Ione,629.471
Adelanto,Irvine,132.872
Adelanto,Irwindale,105.67
Adelanto,Isleton,622.689
Adelanto,Jackson,642.562
Adelanto,Jurupa Valley,81.988
Adelanto,Kerman,403.01
Adelanto,King City,456.174
Adelanto,Kingsburg,345.274
Adelanto,La Cañada Flintridge,131.788
Adelanto,La Habra,118.277
Adelanto,La Habra Heights,116.889
Adelanto,La Mesa,236.381
Adelanto,La Mirada,126.512
Adelanto,La Palma,139.569
Adelanto,La Puente,117.992
Adelanto,La Quinta,187.296
Adelanto,La Verne,92.072
Adelanto,Lafayette,632.727
Adelanto,Laguna Beach,152.316
Adelanto,Laguna Hills,144.15
Adelanto,Laguna Niguel,152.26
Adelanto,Laguna Woods,141.41
Adelanto,Lake Elsinore,125.725
Adelanto,Lake Forest,138.456
Adelanto,Lakeport,835.437
Adelanto,Lakewood,143.333
Adelanto,Lancaster,80.733
Adelanto,Larkspur,673.754
Adelanto,Lathrop,563.991
Adelanto,Lawndale,164.726
Adelanto,Lemon Grove,243.139
Adelanto,Lemoore,355.518
Adelanto,Lincoln,692.806
Adelanto,Lindsay,301.355
Adelanto,Live Oak,730.493
Adelanto,Livermore,588.949
Adelanto,Livingston,490.601
Adelanto,Lodi,594.444
Adelanto,Loma Linda,77.183
Adelanto,Lomita,167.394
Adelanto,Lompoc,341.683
Adelanto,Long Beach,157.857
Adelanto,Loomis,684.602
Adelanto,Los Alamitos,148.541
Adelanto,Los Altos,611.825
Adelanto,Los Altos Hills,614.032
Adelanto,Los Angeles,136.818
Adelanto,Los Banos,470.202
Adelanto,Los Gatos,591.776
Adelanto,Loyalton,746.794
Adelanto,Lynwood,144.184
Adelanto,Madera,413.476
Adelanto,Malibu,182.656
Adelanto,Mammoth Lakes,420.366
Adelanto,Manhattan Beach,167.791
Adelanto,Manteca,556.519
Adelanto,Maricopa,229.362
Adelanto,Marina,545.454
Adelanto,Martinez,646.317
Adelanto,Marysville,715.449
Adelanto,Maywood,137.464
Adelanto,McFarland,245.914
Adelanto,Mendota,421.987
Adelanto,Menifee,119.18
Adelanto,Menlo Park,621.003
Adelanto,Merced,466.795
Adelanto,Mill Valley,678.452
Adelanto,Millbrae,644.301
Adelanto,Milpitas,599.639
Adelanto,Mission Viejo,146.018
Adelanto,Modesto,529.254
Adelanto,Monrovia,109.852
Adelanto,Montague,1057.606
Adelanto,Montclair,85.08
Adelanto,Monte Sereno,595.104
Adelanto,Montebello,129.951
Adelanto,Monterey,557.436
Adelanto,Monterey Park,126.329
Adelanto,Moorpark,173.734
Adelanto,Moraga,639.826
Adelanto,Moreno Valley,94.326
Adelanto,Morgan Hill,557.189
Adelanto,Morro Bay,416.179
Adelanto,Mount Shasta,1002.613
Adelanto,Mountain View,610.238
Adelanto,Murrieta,143.119
Adelanto,Napa,691.125
Adelanto,National City,240.262
Adelanto,Needles,290.955
Adelanto,Nevada City,741.71
Adelanto,Newark,617.665
Adelanto,Newman,503.615
Adelanto,Newport Beach,149.603
Adelanto,Norco,86.697
Adelanto,Norwalk,137.795
Adelanto,Novato,689.377
Adelanto,Oakdale,537.935
Adelanto,Oakland,638.918
Adelanto,Oakley,608.256
Adelanto,Oceanside,201.329
Adelanto,Ojai,212.453
Adelanto,Ontario,88.122
Adelanto,Orange,127.922
Adelanto,Orange Cove,364.65
Adelanto,Orinda,638.823
Adelanto,Orland,811.145
Adelanto,Oroville,758.658
Adelanto,Oxnard,218.427
Adelanto,Pacific Grove,565.474
Adelanto,Pacifica,658.963
Adelanto,Palm Desert,178.292
Adelanto,Palm Springs,151.738
Adelanto,Palmdale,69.938
Adelanto,Palo Alto,615.709
Adelanto,Palos Verdes Estates,171.685
Adelanto,Paradise,789.377
Adelanto,Paramount,144.514
Adelanto,Parlier,357.702
Adelanto,Pasadena,123.243
Adelanto,Paso Robles,373.178
Adelanto,Patterson,523.311
Adelanto,Perris,107.253
Adelanto,Petaluma,706.069
Adelanto,Pico Rivera,128.293
Adelanto,Piedmont,641.112
Adelanto,Pinole,664.234
Adelanto,Pismo Beach,377.289
Adelanto,Pittsburg,618.762
Adelanto,Placentia,120.784
Adelanto,Placerville,693.302
Adelanto,Pleasant Hill,633.073
Adelanto,Pleasanton,601.074
Adelanto,Plymouth,646.951
Adelanto,Point Arena,876.37
Adelanto,Pomona,97.134
Adelanto,Port Hueneme,222.7
Adelanto,Porterville,284.475
Adelanto,Portola,755.205
Adelanto,Portola Valley,626.758
Adelanto,Poway,208.52
Adelanto,Rancho Cordova,648.226
Adelanto,Rancho Cucamonga,73.121
Adelanto,Rancho Mirage,175.293
Adelanto,Rancho Palos Verdes,178.058
Adelanto,Rancho Santa Margarita,141.245
Adelanto,Red Bluff,861.924
Adelanto,Redding,909.454
Adelanto,Redlands,81.452
Adelanto,Redondo Beach,167.177
Adelanto,Redwood City,624.824
Adelanto,Reedley,355.609
Adelanto,Rialto,69.063
Adelanto,Richmond,656.942
Adelanto,Ridgecrest,126.668
Adelanto,Rio Dell,1038.65
Adelanto,Rio Vista,710.838
Adelanto,Ripon,547.077
Adelanto,Riverbank,540.891
Adelanto,Riverside,82.342
Adelanto,Rocklin,680.615
Adelanto,Rohnert Park,721.03
Adelanto,Rolling Hills,175.096
Adelanto,Rolling Hills Estates,171.939
Adelanto,Rosemead,121.178
Adelanto,Roseville,675.798
Adelanto,Ross,674.959
Adelanto,Sacramento,650.553
Adelanto,Salinas,531.394
Adelanto,San Bernardino,66.17
Adelanto,San Buenaventura (Ventura),211.648
Adelanto,San Carlos,628.876
Adelanto,San Clemente,166.802
Adelanto,San Diego,236.188
Adelanto,San Francisco,657.526
Adelanto,San Gabriel,125.781
Adelanto,San Jacinto,125.394
Adelanto,San Jose,589.526
Adelanto,San Juan Bautista,544.077
Adelanto,San Leandro,624.689
Adelanto,San Lorenzo,620.979
Adelanto,San Luis Obispo,397.126
Adelanto,San Marino,121.862
Adelanto,San Pablo,659.761
Adelanto,San Rafael,673.059
Adelanto,Santa Ana,133.578
Adelanto,Santa Barbara,255.188
Adelanto,Santa Clara,598.272
Adelanto,Santa Clarita,125.977
Adelanto,Santa Cruz,591.417
Adelanto,Santa Fe Springs,130.589
Adelanto,Santa Maria,356.312
Adelanto,Santa Monica,162.797
Adelanto,Santa Rosa,733.213
Adelanto,Santee,236.49
Adelanto,Saratoga,595.676
Adelanto,Scotts Valley,596.184
Adelanto,Seaside,554.208
Adelanto,Sebastopol,732.459
Adelanto,Selma,354.018
Adelanto,Shafter,233.725
Adelanto,Shasta Lake,919.214
Adelanto,Signal Hill,158.736
Adelanto,Simi Valley,165.124
Adelanto,South El Monte,121.876
Adelanto,South Gate,145.212
Adelanto,South Pasadena,127.763
Adelanto,St. Helena,717.393
Adelanto,Stockton,578.438
Adelanto,Sunnyvale,606.645
Adelanto,Sutter Creek,641.771
Adelanto,Tahoe City,682.255
Adelanto,Tarzana,152.725
Adelanto,Temple City,116.403
Adelanto,Thousand Oaks,181.727
Adelanto,Torrance,164.069
Adelanto,Tracy,563.416
Adelanto,Truckee,686.711
Adelanto,Tulare,307.096
Adelanto,Turlock,506.697
Adelanto,Tustin,132.781
Adelanto,Twain Harte,573.035
Adelanto,Ukiah,828.663
Adelanto,Union City,623.244
Adelanto,Upland,78.703
Adelanto,Vacaville,688.725
Adelanto,Valencia,129.983
Adelanto,Vallejo,660.867
Adelanto,Ventura,211.648
Adelanto,Victorville,13.871
Adelanto,Visalia,329.768
Adelanto,Vista,184.806
Adelanto,Walnut Creek,628.826
Adelanto,Watsonville,570.162
Adelanto,West Covina,111.613
Adelanto,West Hollywood,150.672
Adelanto,West Sacramento,650.731
Adelanto,Westlake Village,178.489
Adelanto,Whittier,127.944
Adelanto,Wildomar,136.643
Adelanto,Willits,863.955
Adelanto,Woodlake,326.397
Adelanto,Woodland,680.58
Adelanto,Woodside,625.264
Adelanto,Yorba Linda,120.085
Adelanto,Yuba City,716.647
Agoura Hills,Alameda,607.855
Agoura Hills,Albany,616.622
Agoura Hills,Alhambra,67.741
Agoura Hills,Aliso Viejo,139.112
Agoura Hills,Alturas,1112.48
Agoura Hills,Amador City,629.926
Agoura Hills,American Canyon,640.13
Agoura Hills,Anaheim,110.104
Agoura Hills,Anderson,866.422
Agoura Hills,Angels,556.073
Agoura Hills,Antioch,576.994
Agoura Hills,Apple Valley,194.936
Agoura Hills,Arcadia,73.704
Agoura Hills,Arcata,1058.131
Agoura Hills,Arroyo Grande,224.383
Agoura Hills,Artesia,93.49
Agoura Hills,Arvin,180.651
Agoura Hills,Atascadero,276.424
Agoura Hills,Atherton,579.832
Agoura Hills,Atwater,461.34
Agoura Hills,Auburn,679.729
Agoura Hills,Avenal,307.414
Agoura Hills,Azusa,86.126
Agoura Hills,Bakersfield,188.93
Agoura Hills,Baldwin Park,84.904
Agoura Hills,Banning,194.694
Agoura Hills,Barstow,232.233
Agoura Hills,Beaumont,185.093
Agoura Hills,Bell Gardens,76.653
Agoura Hills,Bellflower,87.329
Agoura Hills,Belmont,586.923
Agoura Hills,Belvedere,648.802
Agoura Hills,Benicia,617.165
Agoura Hills,Berkeley,611.999
Agoura Hills,Beverly Hills,49.396
Agoura Hills,Big Bear Lake,211.418
Agoura Hills,Biggs,725.116
Agoura Hills,Bishop,457.376
Agoura Hills,Blue Lake,1071.658
Agoura Hills,Blythe,419.09
Agoura Hills,Bradbury,79.416
Agoura Hills,Brawley,379.531
Agoura Hills,Brea,120.651
Agoura Hills,Brentwood,562.551
Agoura Hills,Brisbane,610.627
Agoura Hills,Buellton,167.675
Agoura Hills,Buena Park,93.177
Agoura Hills,Burbank,47.514
Agoura Hills,Burlingame,596.382
Agoura Hills,Calabasas,12.839
Agoura Hills,Calexico,416.769
Agoura Hills,California,362.542
Agoura Hills,Calimesa,173.455
Agoura Hills,Calipatria,369.483
Agoura Hills,Calistoga,697.342
Agoura Hills,Camarillo,29.273
Agoura Hills,Campbell,549.462
Agoura Hills,Canyon Lake,176.115
Agoura Hills,Capitola,505.172
Agoura Hills,Carlsbad,201.15
Agoura Hills,Carmel-by-the-Sea,483.42
Agoura Hills,Carpinteria,81.305
Agoura Hills,Carson,76.256
Agoura Hills,Cathedral City,243.986
Agoura Hills,Ceres,504.667
Agoura Hills,Cerritos,94.086
Agoura Hills,Chico,769.975
Agoura Hills,Chino,111.944
Agoura Hills,Chino Hills,114.543
Agoura Hills,Chowchilla,421.227
Agoura Hills,Chula Vista,266.067
Agoura Hills,Citrus Heights,649.898
Agoura Hills,Claremont,104.635
Agoura Hills,Clayton,583.869
Agoura Hills,Clearlake,787.311
Agoura Hills,Cloverdale,749.026
Agoura Hills,Clovis,374.38
Agoura Hills,Coachella,272.689
Agoura Hills,Coalinga,331.457
Agoura Hills,Colfax,706.072
Agoura Hills,Colma,616.424
Agoura Hills,Colton,148.353
Agoura Hills,Colusa,730.249
Agoura Hills,Commerce,71.463
Agoura Hills,Compton,76.72
Agoura Hills,Concord,605.496
Agoura Hills,Corcoran,290.711
Agoura Hills,Corning,808.69
Agoura Hills,Corona,132.518
Agoura Hills,Coronado,263.311
Agoura Hills,Corte Madera,640.299
Agoura Hills,Costa Mesa,119.868
Agoura Hills,Cotati,685.828
Agoura Hills,Covina,89.407
Agoura Hills,Crescent City,1181.508
Agoura Hills,Cudahy,76.721
Agoura Hills,Culver City,52.59
Agoura Hills,Cupertino,556.677
Agoura Hills,Cypress,101.577
Agoura Hills,Daly City,617.438
Agoura Hills,Dana Point,156.39
Agoura Hills,Danville,583.374
Agoura Hills,Davis,646.544
Agoura Hills,Del Mar,225.178
Agoura Hills,Del Rey Oaks,472.396
Agoura Hills,Delano,238.272
Agoura Hills,Desert Hot Springs,234.527
Agoura Hills,Diamond Bar,107.221
Agoura Hills,Dinuba,330.091
Agoura Hills,Dixon,659.799
Agoura Hills,Dorris,1075.62
Agoura Hills,Dos Palos,428.754
Agoura Hills,Downey,84.218
Agoura Hills,Duarte,78.019
Agoura Hills,Dublin,568.459
Agoura Hills,Dunsmuir,965.844
Agoura Hills,East Palo Alto,572.931
Agoura Hills,Eastvale,129.254
Agoura Hills,El Cajon,265.232
Agoura Hills,El Centro,399.948
Agoura Hills,El Cerrito,620.542
Agoura Hills,El Monte,80.511
Agoura Hills,El Segundo,65.271
Agoura Hills,Elk Grove,608.796
Agoura Hills,Emeryville,610.708
Agoura Hills,Encinitas,215.744
Agoura Hills,Escalon,538.947
Agoura Hills,Escondido,227.808
Agoura Hills,Etna,1078.395
Agoura Hills,Eureka,1046.116
Agoura Hills,Exeter,295.757
Agoura Hills,Fairfax,644.989
Agoura Hills,Fairfield,643.324
Agoura Hills,Farmersville,307.416
Agoura Hills,Ferndale,1029.93
Agoura Hills,Fillmore,45.492
Agoura Hills,Firebaugh,401.753
Agoura Hills,Folsom,661.578
Agoura Hills,Fontana,133.453
Agoura Hills,Fort Bragg,885.55
Agoura Hills,Fort Jones,1059.596
Agoura Hills,Fortuna,1018.334
Agoura Hills,Foster City,590.953
Agoura Hills,Fountain Valley,110.924
Agoura Hills,Fowler,345.027
Agoura Hills,Fremont,571.359
Agoura Hills,Fresno,361.283
Agoura Hills,Fullerton,109.596
Agoura Hills,Galt,589.806
Agoura Hills,Garden Grove,109.954
Agoura Hills,Gardena,70.295
Agoura Hills,Gilroy,495.781
Agoura Hills,Glendale,51.388
Agoura Hills,Glendora,90.402
Agoura Hills,Goleta,112.855
Agoura Hills,Gonzales,423.754
Agoura Hills,Grand Terrace,153.472
Agoura Hills,Grass Valley,717.933
Agoura Hills,Greenfield,396.326
Agoura Hills,Gridley,717.853
Agoura Hills,Grover Beach,227.299
Agoura Hills,Guadalupe,213.867
Agoura Hills,Gustine,463.954
Agoura Hills,Half Moon Bay,605.697
Agoura Hills,Hanford,324.22
Agoura Hills,Hawaiian Gardens,95.409
Agoura Hills,Hawthorne,63.077
Agoura Hills,Hayward,584.865
Agoura Hills,Healdsburg,721.234
Agoura Hills,Hemet,207.876
Agoura Hills,Hercules,635.437
Agoura Hills,Hermosa Beach,69.474
Agoura Hills,Hesperia,174.565
Agoura Hills,Hidden Hills,14.489
Agoura Hills,Highland,151.777
Agoura Hills,Hillsborough,602.439
Agoura Hills,Hollister,499.549
Agoura Hills,Holtville,413.16
Agoura Hills,Hughson,505.301
Agoura Hills,Huntington Beach,113.793
Agoura Hills,Huntington Park,69.988
Agoura Hills,Huron,318.628
Agoura Hills,Imperial,393.142
Agoura Hills,Imperial Beach,273.27
Agoura Hills,Indian Wells,257.669
Agoura Hills,Indio,263.611
Agoura Hills,Industry,95.385
Agoura Hills,Inglewood,57.718
Agoura Hills,Ione,611.752
Agoura Hills,Irvine,123.779
Agoura Hills,Irwindale,84.844
Agoura Hills,Isleton,594.534
Agoura Hills,Jackson,624.842
Agoura Hills,Jurupa Valley,135.448
Agoura Hills,Kerman,377.988
Agoura Hills,King City,377.074
Agoura Hills,Kingsburg,327.401
Agoura Hills,La Cañada Flintridge,62.347
Agoura Hills,La Habra,103.624
Agoura Hills,La Habra Heights,96.492
Agoura Hills,La Mesa,259.738
Agoura Hills,La Mirada,92.244
Agoura Hills,La Palma,98.049
Agoura Hills,La Puente,92.196
Agoura Hills,La Quinta,266.227
Agoura Hills,La Verne,99.394
Agoura Hills,Lafayette,599.1
Agoura Hills,Laguna Beach,139.423
Agoura Hills,Laguna Hills,139.881
Agoura Hills,Laguna Niguel,144.283
Agoura Hills,Laguna Woods,137.875
Agoura Hills,Lake Elsinore,167.551
Agoura Hills,Lake Forest,138.212
Agoura Hills,Lakeport,801.81
Agoura Hills,Lakewood,90.091
Agoura Hills,Lancaster,124.233
Agoura Hills,Larkspur,640.126
Agoura Hills,Lathrop,537.948
Agoura Hills,Lawndale,65.639
Agoura Hills,Lemon Grove,263.811
Agoura Hills,Lemoore,329.703
Agoura Hills,Lincoln,675.086
Agoura Hills,Lindsay,283.481
Agoura Hills,Live Oak,707.225
Agoura Hills,Livermore,555.321
Agoura Hills,Livingston,472.727
Agoura Hills,Lodi,576.724
Agoura Hills,Loma Linda,152.114
Agoura Hills,Lomita,78.729
Agoura Hills,Lompoc,185.133
Agoura Hills,Long Beach,88.699
Agoura Hills,Loomis,666.882
Agoura Hills,Los Alamitos,97.459
Agoura Hills,Los Altos,568.31
Agoura Hills,Los Altos Hills,570.517
Agoura Hills,Los Angeles,56.375
Agoura Hills,Los Banos,436.574
Agoura Hills,Los Gatos,548.261
Agoura Hills,Loyalton,848.138
Agoura Hills,Lynwood,75.778
Agoura Hills,Madera,395.603
Agoura Hills,Malibu,20.864
Agoura Hills,Mammoth Lakes,525.698
Agoura Hills,Manhattan Beach,68.18
Agoura Hills,Manteca,541.632
Agoura Hills,Maricopa,189.444
Agoura Hills,Marina,466.353
Agoura Hills,Martinez,612.689
Agoura Hills,Marysville,692.18
Agoura Hills,Maywood,72.408
Agoura Hills,McFarland,228.041
Agoura Hills,Mendota,388.36
Agoura Hills,Menifee,186.848
Agoura Hills,Menlo Park,577.489
Agoura Hills,Merced,448.922
Agoura Hills,Mill Valley,644.825
Agoura Hills,Millbrae,600.787
Agoura Hills,Milpitas,556.124
Agoura Hills,Mission Viejo,141.748
Agoura Hills,Modesto,511.381
Agoura Hills,Monrovia,76.686
Agoura Hills,Montague,1034.337
Agoura Hills,Montclair,110.854
Agoura Hills,Monte Sereno,551.589
Agoura Hills,Montebello,76.097
Agoura Hills,Monterey,478.336
Agoura Hills,Monterey Park,71.107
Agoura Hills,Moorpark,26.89
Agoura Hills,Moraga,606.199
Agoura Hills,Moreno Valley,161.994
Agoura Hills,Morgan Hill,513.674
Agoura Hills,Morro Bay,270.149
Agoura Hills,Mount Shasta,979.345
Agoura Hills,Mountain View,566.724
Agoura Hills,Murrieta,184.945
Agoura Hills,Napa,657.497
Agoura Hills,National City,260.934
Agoura Hills,Needles,459.823
Agoura Hills,Nevada City,723.99
Agoura Hills,Newark,574.15
Agoura Hills,Newman,469.987
Agoura Hills,Newport Beach,127.2
Agoura Hills,Norco,140.157
Agoura Hills,Norwalk,88.55
Agoura Hills,Novato,655.749
Agoura Hills,Oakdale,520.062
Agoura Hills,Oakland,605.29
Agoura Hills,Oakley,574.629
Agoura Hills,Oceanside,194.909
Agoura Hills,Ojai,79.015
Agoura Hills,Ontario,116.261
Agoura Hills,Orange,118.279
Agoura Hills,Orange Cove,346.777
Agoura Hills,Orinda,605.195
Agoura Hills,Orland,787.877
Agoura Hills,Oroville,735.39
Agoura Hills,Oxnard,44.496
Agoura Hills,Pacific Grove,486.374
Agoura Hills,Pacifica,615.448
Agoura Hills,Palm Desert,257.222
Agoura Hills,Palm Springs,230.669
Agoura Hills,Palmdale,109.308
Agoura Hills,Palo Alto,572.195
Agoura Hills,Palos Verdes Estates,77.167
Agoura Hills,Paradise,766.109
Agoura Hills,Paramount,82.267
Agoura Hills,Parlier,339.829
Agoura Hills,Pasadena,61.902
Agoura Hills,Paso Robles,299.166
Agoura Hills,Patterson,489.684
Agoura Hills,Perris,174.92
Agoura Hills,Petaluma,672.441
Agoura Hills,Pico Rivera,78.648
Agoura Hills,Piedmont,607.484
Agoura Hills,Pinole,630.607
Agoura Hills,Pismo Beach,229.862
Agoura Hills,Pittsburg,585.134
Agoura Hills,Placentia,115.842
Agoura Hills,Placerville,693.945
Agoura Hills,Pleasant Hill,599.445
Agoura Hills,Pleasanton,567.447
Agoura Hills,Plymouth,629.231
Agoura Hills,Point Arena,842.743
Agoura Hills,Pomona,105.858
Agoura Hills,Port Hueneme,48.769
Agoura Hills,Porterville,266.602
Agoura Hills,Portola,864.796
Agoura Hills,Portola Valley,583.243
Agoura Hills,Poway,247.197
Agoura Hills,Rancho Cordova,645.108
Agoura Hills,Rancho Cucamonga,117.252
Agoura Hills,Rancho Mirage,254.224
Agoura Hills,Rancho Palos Verdes,98.243
Agoura Hills,Rancho Santa Margarita,151.535
Agoura Hills,Red Bluff,838.656
Agoura Hills,Redding,886.186
Agoura Hills,Redlands,160.382
Agoura Hills,Redondo Beach,70.493
Agoura Hills,Redwood City,581.309
Agoura Hills,Reedley,337.736
Agoura Hills,Rialto,138.361
Agoura Hills,Richmond,623.314
Agoura Hills,Ridgecrest,257.114
Agoura Hills,Rio Dell,1005.023
Agoura Hills,Rio Vista,677.21
Agoura Hills,Ripon,529.204
Agoura Hills,Riverbank,523.018
Agoura Hills,Riverside,148.219
Agoura Hills,Rocklin,662.895
Agoura Hills,Rohnert Park,687.403
Agoura Hills,Rolling Hills,84.424
Agoura Hills,Rolling Hills Estates,76.727
Agoura Hills,Rosemead,76.11
Agoura Hills,Ross,641.331
Agoura Hills,Sacramento,627.323
Agoura Hills,Salinas,452.293
Agoura Hills,San Bernardino,145.285
Agoura Hills,San Clemente,160.383
Agoura Hills,San Gabriel,72.524
Agoura Hills,San Jacinto,204.324
Agoura Hills,San Juan Bautista,482.681
Agoura Hills,San Lorenzo,587.352
Agoura Hills,San Marino,69.45
Agoura Hills,San Pablo,626.133
Agoura Hills,Santa Ana,118.854
Agoura Hills,Santa Barbara,98.638
Agoura Hills,Santa Clarita,60.782
Agoura Hills,Santa Cruz,512.317
Agoura Hills,Santa Fe Springs,89.973
Agoura Hills,Santa Maria,200.571
Agoura Hills,Santa Monica,48.749
Agoura Hills,Santa Rosa,699.585
Agoura Hills,Saratoga,552.161
Agoura Hills,Scotts Valley,517.084
Agoura Hills,Seaside,475.107
Agoura Hills,Sebastopol,698.831
Agoura Hills,Selma,336.145
Agoura Hills,Shafter,215.852
Agoura Hills,Shasta Lake,895.946
Agoura Hills,Signal Hill,86.581
Agoura Hills,Simi Valley,26.347
Agoura Hills,South El Monte,78.819
Agoura Hills,South Gate,78.566
Agoura Hills,South Pasadena,64.274
Agoura Hills,St. Helena,683.765
Agoura Hills,Stockton,552.034
